user_id,user_location,tweet_created_at,tweet_id,
1215418646,Saronno,2021-01-14 09:23:17,1349648268754624517,
416438464,Provincia di Lecce,2021-01-14 09:23:20,1349648284290318343,
2922945611,Pordenone Friuli Italy,2021-01-14 09:23:29,1349648319371489281,
105537665,Where heart is...,2021-01-14 09:23:31,1349648329144205314,
896149597,Friuli-Venezia Giulia Italia,2021-01-14 09:23:47,1349648395439394822,
1237071348662448129,Brunate Lombardia,2021-01-14 09:23:59,1349648446899286019,
489604425,Gotham City,2021-01-14 09:24:00,1349648448828616704,
795909874005766145,Messina Sicilia,2021-01-14 09:24:17,1349648523395002368,
2657512986,Roma,2021-01-14 09:24:27,1349648565669388290,
162468280,Cesena    FC,2021-01-14 09:24:29,1349648571310727168,
1240442134576148490,Telese Terme Campania,2021-01-14 09:24:29,1349648572594188290,
744989492,Thaifititalia@gmail.com,2021-01-14 09:24:35,1349648598552735745,
275225571,Milano Lombardia,2021-01-14 09:24:38,1349648608413556738,
237241091,Chorio; Calabria; Italy,2021-01-14 09:24:55,1349648679066591232,
2385068164,Trieste Friuli-Venezia Giulia,2021-01-14 09:25:02,1349648709332701185,
190169270,Gardone Riviera BS Italia,2021-01-14 09:25:03,1349648715011784705,
992280477921771521,Borgomanero Piemonte,2021-01-14 09:25:06,1349648726701334529,
383949069,San giorgio a cremano Napoli,2021-01-14 09:25:12,1349648752953360387,
232908749,Toscana Italia,2021-01-14 09:25:15,1349648765897076738,
868794661913100288,Bologna Emilia Romagna,2021-01-14 09:25:21,1349648789603287040,
2408947867,Milano,2021-01-14 09:25:25,1349648805336068096,
232908749,Toscana Italia,2021-01-14 09:25:32,1349648836382355457,
73599190,Milano Ferrara,2021-01-14 09:25:37,1349648857379053569,
896149597,Friuli-Venezia Giulia Italia,2021-01-14 09:25:40,1349648867944509446,
499917668,Catania,2021-01-14 09:25:48,1349648901981298690,
329166379,Roma,2021-01-14 09:25:50,1349648911351369728,
995840042,Grosseto,2021-01-14 09:25:50,1349648912953569280,
1121300097982193669,Lograto Lombardia,2021-01-14 09:25:58,1349648944947752961,
329564611,Porto Torres Sardegna,2021-01-14 09:26:07,1349648983904415745,
2373209560,Golfer & Kendo Master,2021-01-14 09:26:08,1349648988757237760,
549660333,Ragusa Sicilia Italia,2021-01-14 09:26:13,1349649008550154240,
275225571,Milano Lombardia,2021-01-14 09:26:17,1349649024148758528,
1013415385,Milano Lombardia,2021-01-14 09:26:17,1349649026283499521,
757087130476802048,Torino Piemonte,2021-01-14 09:26:22,1349649044696682498,
486138911,Balcone di Babilonia,2021-01-14 09:26:25,1349649056893710336,
919239149600862209,Milano Lombardia,2021-01-14 09:26:25,1349649058407788545,
73599190,Milano Ferrara,2021-01-14 09:26:26,1349649063227043840,
58444885,Torino Italy,2021-01-14 09:26:26,1349649063856242691,
14257328,Locorotondo Puglia,2021-01-14 09:26:29,1349649074916626432,
129239995,MontegiorgioFermoitalia,2021-01-14 09:26:30,1349649079647817728,
184454249,Français | Italiano,2021-01-14 09:26:31,1349649085662314496,
184454249,Français | Italiano,2021-01-14 09:26:32,1349649086698295297,
934816236260745216,Sant'Angelo in Vado Marche,2021-01-14 09:26:37,1349649108433297408,
2430696135,Roma Lazio,2021-01-14 09:26:48,1349649153903759361,
499917668,Catania,2021-01-14 09:26:58,1349649196220088321,
1022896260171358209,Lecce Puglia,2021-01-14 09:27:02,1349649215849377792,
1326780326,Monterotondo Lazio,2021-01-14 09:27:07,1349649233742352387,
51752119,Brescia Lombardia,2021-01-14 09:27:10,1349649245616398337,
995840042,Grosseto,2021-01-14 09:27:15,1349649267384844289,
2376336687,Acerra Campania,2021-01-14 09:27:19,1349649285944631296,
1240442134576148490,Telese Terme Campania,2021-01-14 09:27:21,1349649294652018688,
933969417234468864,Messina Sicilia,2021-01-14 09:27:23,1349649302235316230,
73599190,Milano Ferrara,2021-01-14 09:27:25,1349649311504732164,
1181458387,Veneto,2021-01-14 09:27:25,1349649311441825794,
2373209560,Golfer & Kendo Master,2021-01-14 09:27:29,1349649325702467589,
111009571,Rome - London,2021-01-14 09:27:34,1349649346757865482,
401318303,Salento South Italy,2021-01-14 09:27:34,1349649347642707975,
795909874005766145,Messina Sicilia,2021-01-14 09:27:36,1349649356564144129,
66130692,Milano,2021-01-14 09:27:42,1349649382476574721,
1243133156519227393,Lodi Lombardia,2021-01-14 09:27:47,1349649402789572609,
